image_name,total_beans,original_pixels_per_mm,original_avg_length_mm,original_grade,original_diff_from_min,original_diff_from_max,original_difference,adjusted_pixels_per_mm,adjusted_avg_length_mm,adjusted_grade,scale_factor,adjusted_diff_from_min,adjusted_diff_from_max,adjusted_difference,iterations,status
tray_001_back.jpg,142,7.27,8.328,AAA,1.978,-1.578,1.578,9.25,6.55,A,0.7865,0.2,0.2,0.0,1,Corrected
tray_001_front.jpg,153,23.09,9.366,AAA,3.016,-2.616,2.616,33.01,6.55,A,0.6993,0.2,0.2,0.0,1,Corrected
tray_002_back.jpg,120,20.99,7.442,AA,1.092,-0.692,0.692,23.85,6.55,A,0.8801,0.2,0.2,0.0,1,Corrected
tray_002_front.jpg,120,22.43,8.118,AAA,1.768,-1.368,1.368,27.81,6.55,A,0.8068,0.2,0.2,0.0,1,Corrected
tray_003_back.jpg,123,19.35,7.018,A,0.668,-0.268,0.268,20.74,6.55,A,0.9333,0.2,0.2,0.0,1,Corrected
tray_003_front.jpg,126,18.77,7.424,AA,1.074,-0.674,0.674,21.28,6.55,A,0.8823,0.2,0.2,0.0,1,Corrected
tray_004_back.jpg,121,22.03,7.453,AA,1.103,-0.703,0.703,25.07,6.55,A,0.8789,0.2,0.2,0.0,1,Corrected
tray_004_front.jpg,123,20.94,7.999,AAA,1.649,-1.249,1.249,25.57,6.55,A,0.8188,0.2,0.2,0.0,1,Corrected
tray_005_back.jpg,120,19.19,7.055,A,0.705,-0.305,0.305,20.66,6.55,A,0.9285,0.2,0.2,0.0,1,Corrected
tray_005_front.jpg,123,23.33,8.218,AAA,1.868,-1.468,1.468,29.27,6.55,A,0.797,0.2,0.2,0.0,1,Corrected
tray_006_back.jpg,120,17.54,9.198,AAA,2.848,-2.448,2.448,24.64,6.55,A,0.7121,0.2,0.2,0.0,1,Corrected
tray_006_front.jpg,129,20.83,8.292,AAA,1.942,-1.542,1.542,26.37,6.55,A,0.7899,0.2,0.2,0.0,1,Corrected
tray_007_back.jpg,120,19.99,6.997,A,0.647,-0.247,0.247,21.35,6.55,A,0.9361,0.2,0.2,0.0,1,Corrected
tray_007_front.jpg,120,19.35,7.766,AAA,1.416,-1.016,1.016,22.95,6.55,A,0.8434,0.2,0.2,0.0,1,Corrected
tray_008_back.jpg,120,19.68,7.26,AA,0.91,-0.51,0.51,21.82,6.55,A,0.9022,0.2,0.2,0.0,1,Corrected
tray_008_front.jpg,120,19.97,6.853,A,0.503,-0.103,0.103,20.89,6.55,A,0.9558,0.2,0.2,0.0,1,Corrected
tray_009_back.jpg,120,17.0,9.45,AAA,3.1,-2.7,2.7,24.53,6.55,A,0.6931,0.2,0.2,0.0,1,Corrected
tray_009_front.jpg,133,18.07,7.901,AAA,1.551,-1.151,1.151,21.79,6.55,A,0.829,0.2,0.2,0.0,1,Corrected
tray_010_back.jpg,120,20.39,7.111,A,0.761,-0.361,0.361,22.14,6.549,A,0.9212,0.199,0.201,0.0,1,Corrected
tray_010_front.jpg,120,22.87,7.997,AAA,1.647,-1.247,1.247,27.92,6.55,A,0.8191,0.2,0.2,0.0,1,Corrected
tray_011_back.jpg,120,20.19,6.993,A,0.643,-0.243,0.243,21.55,6.55,A,0.9367,0.2,0.2,0.0,1,Corrected
tray_011_front.jpg,127,19.85,7.422,AA,1.072,-0.672,0.672,22.5,6.55,A,0.8825,0.2,0.2,0.0,1,Corrected
tray_012_back.jpg,120,19.86,7.424,AA,1.074,-0.674,0.674,22.5,6.55,A,0.8823,0.2,0.2,0.0,1,Corrected
tray_012_front.jpg,122,21.52,8.551,AAA,2.201,-1.801,1.801,28.09,6.551,A,0.766,0.201,0.199,0.0,1,Corrected
tray_013_back.jpg,121,20.76,6.616,A,0.266,0.134,0.0,20.76,6.616,A,1.0,0.266,0.134,0.0,0,Already OK
tray_013_front.jpg,129,19.74,7.386,AA,1.036,-0.636,0.636,22.25,6.551,A,0.8869,0.201,0.199,0.0,1,Corrected
tray_014_back.jpg,121,20.63,7.044,A,0.694,-0.294,0.294,22.19,6.55,A,0.9299,0.2,0.2,0.0,1,Corrected
tray_014_front.jpg,128,21.04,7.982,AAA,1.632,-1.232,1.232,25.64,6.55,A,0.8206,0.2,0.2,0.0,1,Corrected
tray_015_back.jpg,120,19.97,7.304,AA,0.955,-0.554,0.554,22.27,6.55,A,0.8967,0.2,0.2,0.0,1,Corrected
tray_015_front.jpg,127,20.68,8.124,AAA,1.774,-1.374,1.374,25.65,6.551,A,0.8063,0.201,0.199,0.0,1,Corrected
tray_016_back.jpg,120,20.56,6.862,A,0.512,-0.112,0.112,21.54,6.55,A,0.9545,0.2,0.2,0.0,1,Corrected
tray_016_front.jpg,119,22.53,8.197,AAA,1.847,-1.447,1.447,28.19,6.55,A,0.799,0.2,0.2,0.0,1,Corrected
tray_017_back.jpg,124,19.2,7.078,A,0.728,-0.328,0.328,20.75,6.549,A,0.9254,0.199,0.201,0.0,1,Corrected
tray_017_front.jpg,122,21.75,7.824,AAA,1.474,-1.074,1.074,25.99,6.55,A,0.8371,0.2,0.2,0.0,1,Corrected
tray_018_back.jpg,123,21.15,7.853,AAA,1.503,-1.103,1.103,25.36,6.55,A,0.8341,0.2,0.2,0.0,1,Corrected
tray_018_front.jpg,119,21.78,7.882,AAA,1.532,-1.132,1.132,26.21,6.551,A,0.831,0.201,0.199,0.0,1,Corrected
tray_019_back.jpg,120,19.97,6.454,A,0.104,0.296,0.0,19.97,6.454,A,1.0,0.104,0.296,0.0,0,Already OK
tray_019_front.jpg,126,20.95,8.138,AAA,1.788,-1.388,1.388,26.03,6.55,A,0.8049,0.2,0.2,0.0,1,Corrected
tray_020_back.jpg,121,19.23,7.23,AA,0.88,-0.48,0.48,21.22,6.55,A,0.9059,0.2,0.2,0.0,1,Corrected
tray_020_front.jpg,121,22.12,7.297,AA,0.947,-0.547,0.547,24.65,6.549,A,0.8976,0.199,0.201,0.0,1,Corrected
tray_021_back.jpg,122,18.56,7.721,AAA,1.371,-0.971,0.971,21.88,6.55,A,0.8483,0.2,0.2,0.0,1,Corrected
tray_021_front.jpg,121,15.86,9.738,AAA,3.388,-2.988,2.988,23.58,6.55,A,0.6726,0.2,0.2,0.0,1,Corrected
tray_022_back.jpg,125,20.97,6.766,A,0.416,-0.016,0.016,21.67,6.55,A,0.968,0.2,0.2,0.0,1,Corrected
tray_022_front.jpg,129,19.48,7.562,AAA,1.212,-0.812,0.812,22.49,6.55,A,0.8662,0.2,0.2,0.0,1,Corrected
tray_023_back.jpg,123,17.93,6.873,A,0.523,-0.123,0.123,18.82,6.55,A,0.953,0.2,0.2,0.0,1,Corrected
tray_023_front.jpg,125,19.57,8.05,AAA,1.7,-1.3,1.3,24.05,6.55,A,0.8137,0.2,0.2,0.0,1,Corrected
tray_024_back.jpg,121,20.49,6.929,A,0.579,-0.179,0.179,21.68,6.549,A,0.9453,0.199,0.201,0.0,1,Corrected
tray_024_front.jpg,125,20.71,8.024,AAA,1.674,-1.274,1.274,25.37,6.55,A,0.8163,0.2,0.2,0.0,1,Corrected
tray_025_back.jpg,120,19.97,6.873,A,0.523,-0.123,0.123,20.95,6.55,A,0.953,0.2,0.2,0.0,1,Corrected
tray_025_front.jpg,122,19.92,7.294,AA,0.944,-0.544,0.544,22.19,6.55,A,0.898,0.2,0.2,0.0,1,Corrected
tray_026_back.jpg,120,19.97,7.586,AAA,1.236,-0.836,0.836,23.13,6.55,A,0.8634,0.2,0.2,0.0,1,Corrected
tray_026_front.jpg,125,19.53,8.644,AAA,2.294,-1.894,1.894,25.78,6.549,A,0.7577,0.199,0.201,0.0,1,Corrected
tray_027_back.jpg,124,19.72,7.077,A,0.727,-0.327,0.327,21.3,6.549,A,0.9256,0.199,0.201,0.0,1,Corrected
tray_027_front.jpg,124,20.43,7.765,AAA,1.415,-1.015,1.015,24.22,6.551,A,0.8436,0.201,0.199,0.0,1,Corrected
tray_028_back.jpg,121,19.32,7.451,AA,1.101,-0.701,0.701,21.98,6.549,A,0.8791,0.199,0.201,0.0,1,Corrected
tray_028_front.jpg,135,19.09,7.721,AAA,1.371,-0.971,0.971,22.5,6.549,A,0.8484,0.199,0.201,0.0,1,Corrected
tray_029_back.jpg,121,20.82,7.112,A,0.762,-0.362,0.362,22.61,6.55,A,0.921,0.2,0.2,0.0,1,Corrected
tray_029_front.jpg,125,20.9,8.391,AAA,2.041,-1.641,1.641,26.77,6.551,A,0.7806,0.201,0.199,0.0,1,Corrected
tray_030_back.jpg,123,19.61,7.36,AA,1.01,-0.61,0.61,22.03,6.549,A,0.89,0.199,0.201,0.0,1,Corrected
tray_030_front.jpg,124,20.43,8.536,AAA,2.186,-1.786,1.786,26.62,6.55,A,0.7674,0.2,0.2,0.0,1,Corrected
tray_031_back.jpg,120,19.74,7.22,AA,0.87,-0.47,0.47,21.76,6.55,A,0.9072,0.2,0.2,0.0,1,Corrected
tray_031_front.jpg,126,20.72,7.936,AAA,1.586,-1.186,1.186,25.1,6.551,A,0.8254,0.201,0.199,0.0,1,Corrected
tray_032_back.jpg,120,19.97,7.255,AA,0.905,-0.505,0.505,22.12,6.55,A,0.9028,0.2,0.2,0.0,1,Corrected
tray_032_front.jpg,126,21.4,8.004,AAA,1.654,-1.254,1.254,26.15,6.549,A,0.8183,0.199,0.201,0.0,1,Corrected
tray_033_back.jpg,120,19.97,6.957,A,0.607,-0.207,0.207,21.21,6.55,A,0.9414,0.2,0.2,0.0,1,Corrected
tray_033_front.jpg,120,21.47,8.143,AAA,1.793,-1.393,1.393,26.69,6.55,A,0.8044,0.2,0.2,0.0,1,Corrected
tray_034_back.jpg,120,19.97,6.415,A,0.065,0.335,0.0,19.97,6.415,A,1.0,0.065,0.335,0.0,0,Already OK
tray_034_front.jpg,126,19.86,7.964,AAA,1.614,-1.214,1.214,24.14,6.55,A,0.8225,0.2,0.2,0.0,1,Corrected
tray_035_back.jpg,120,20.41,7.1,A,0.75,-0.35,0.35,22.12,6.551,A,0.9225,0.201,0.199,0.0,1,Corrected
tray_035_front.jpg,121,21.63,7.885,AAA,1.535,-1.135,1.135,26.04,6.55,A,0.8307,0.2,0.2,0.0,1,Corrected
tray_036_back.jpg,124,19.69,7.109,A,0.759,-0.359,0.359,21.37,6.55,A,0.9214,0.2,0.2,0.0,1,Corrected
tray_036_front.jpg,129,18.11,7.417,AA,1.067,-0.667,0.667,20.51,6.55,A,0.8831,0.2,0.2,0.0,1,Corrected
tray_037_back.jpg,120,20.15,7.04,A,0.691,-0.29,0.29,21.66,6.55,A,0.9303,0.2,0.2,0.0,1,Corrected
tray_037_front.jpg,131,20.62,7.616,AAA,1.266,-0.866,0.866,23.97,6.551,A,0.86,0.201,0.199,0.0,1,Corrected
tray_038_back.jpg,120,19.97,7.032,A,0.683,-0.282,0.282,21.44,6.55,A,0.9314,0.2,0.2,0.0,1,Corrected
tray_038_front.jpg,134,20.19,7.97,AAA,1.62,-1.22,1.22,24.56,6.55,A,0.8218,0.2,0.2,0.0,1,Corrected
tray_039_back.jpg,121,18.78,7.111,A,0.761,-0.361,0.361,20.39,6.55,A,0.9211,0.2,0.2,0.0,1,Corrected
tray_039_front.jpg,119,20.62,8.124,AAA,1.774,-1.374,1.374,25.58,6.549,A,0.8062,0.199,0.201,0.0,1,Corrected
tray_040_back.jpg,120,19.97,7.346,AA,0.996,-0.596,0.596,22.39,6.55,A,0.8917,0.2,0.2,0.0,1,Corrected
tray_040_front.jpg,132,20.28,8.215,AAA,1.865,-1.465,1.465,25.43,6.55,A,0.7973,0.2,0.2,0.0,1,Corrected
tray_041_back.jpg,123,21.19,6.957,A,0.607,-0.207,0.207,22.51,6.55,A,0.9415,0.2,0.2,0.0,1,Corrected
tray_041_front.jpg,121,22.77,7.972,AAA,1.622,-1.222,1.222,27.72,6.55,A,0.8216,0.2,0.2,0.0,1,Corrected
tray_042_back.jpg,120,19.97,6.989,A,0.639,-0.239,0.239,21.31,6.549,A,0.9372,0.199,0.201,0.0,1,Corrected
tray_042_front.jpg,123,21.21,7.489,AA,1.139,-0.739,0.739,24.25,6.55,A,0.8747,0.2,0.2,0.0,1,Corrected
tray_043_back.jpg,120,17.28,9.287,AAA,2.937,-2.537,2.537,24.5,6.55,A,0.7053,0.2,0.2,0.0,1,Corrected
tray_043_front.jpg,127,18.91,8.44,AAA,2.09,-1.69,1.69,24.36,6.551,A,0.7761,0.201,0.199,0.0,1,Corrected
tray_044_back.jpg,120,19.97,7.826,AAA,1.476,-1.076,1.076,23.86,6.549,A,0.837,0.199,0.201,0.0,1,Corrected
tray_044_front.jpg,128,19.77,8.071,AAA,1.721,-1.321,1.321,24.36,6.55,A,0.8116,0.2,0.2,0.0,1,Corrected
tray_045_back.jpg,121,18.72,7.019,A,0.669,-0.269,0.269,20.06,6.55,A,0.9331,0.2,0.2,0.0,1,Corrected
