epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,51.9328,1.77904,4.05378,1.46698,0.60442,0.39876,0.62143,0.2836,1.34601,3.02008,1.11861,0.000765685,0.000255228,0.000765685,0.000255228,0.000765685,0.000255228,0.000765685,0.000255228
2,92.3818,1.31415,1.99374,1.16489,0.78572,0.85058,0.88351,0.42116,1.58455,1.29839,1.2302,0.00152456,0.000508185,0.00152456,0.000508185,0.00152456,0.000508185,0.00152456,0.000508185
3,130.814,1.16728,1.03937,1.12859,0.88735,0.90913,0.93356,0.59218,1.40138,0.87465,1.1236,0.00227328,0.000757759,0.00227328,0.000757759,0.00227328,0.000757759,0.00227328,0.000757759
4,168.536,1.06952,0.85405,1.07631,0.90042,0.92764,0.95063,0.5763,1.38154,0.68838,1.08387,0.00226132,0.000753774,0.00226132,0.000753774,0.00226132,0.000753774,0.00226132,0.000753774
5,205.957,1.0309,0.78029,1.04853,0.89719,0.91501,0.95355,0.64134,1.23621,0.61117,1.04102,0.0022461,0.000748698,0.0022461,0.000748698,0.0022461,0.000748698,0.0022461,0.000748698
6,243.429,0.99014,0.73487,1.03638,0.90983,0.93157,0.96051,0.6912,0.9936,0.54656,0.94767,0.00223087,0.000743623,0.00223087,0.000743623,0.00223087,0.000743623,0.00223087,0.000743623
7,281.304,0.97735,0.71109,1.0258,0.90048,0.92822,0.95907,0.69413,1.05902,0.56072,0.97063,0.00221564,0.000738548,0.00221564,0.000738548,0.00221564,0.000738548,0.00221564,0.000738548
8,318.646,0.94769,0.69569,1.01088,0.91836,0.93364,0.96529,0.70141,1.10028,0.51131,0.98217,0.00220042,0.000733472,0.00220042,0.000733472,0.00220042,0.000733472,0.00220042,0.000733472
9,355.976,0.92387,0.66752,1.00443,0.92447,0.94573,0.9686,0.70948,1.00523,0.47879,0.955,0.00218519,0.000728397,0.00218519,0.000728397,0.00218519,0.000728397,0.00218519,0.000728397
10,392.676,0.91048,0.64822,0.9957,0.92356,0.94437,0.96693,0.71578,0.92707,0.45431,0.9336,0.00216996,0.000723321,0.00216996,0.000723321,0.00216996,0.000723321,0.00216996,0.000723321
